Date,Type,Details,Amount,Units,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
12/01/2024 00:14:33,Dividend,O/USD,0.03 ,-,0.03 ,"2,369.37 ",0.33 ,2398791812,Stocks,0.00 
12/01/2024 00:14:33,Dividend,O/USD,0.04 ,-,0.04 ,"2,369.41 ",0.37 ,2441660511,Stocks,0.00 
12/01/2024 00:14:33,Dividend,O/USD,0.04 ,-,0.04 ,"2,369.45 ",0.41 ,2476484188,Stocks,0.00 
12/01/2024 00:14:33,Dividend,O/USD,0.12 ,-,0.12 ,"2,369.57 ",0.53 ,2512654576,Stocks,0.00 
12/01/2024 00:14:33,Dividend,O/USD,0.04 ,-,0.04 ,"2,369.61 ",0.57 ,2522815064,Stocks,0.00 
12/01/2024 00:14:33,Dividend,O/USD,0.06 ,-,0.06 ,"2,369.67 ",0.63 ,2579513275,Stocks,0.00 
16/01/2024 00:16:22,Dividend,PK/USD,0.79 ,-,0.79 ,"2,370.46 ",1.42 ,2577222575,Stocks,0.00 
16/01/2024 00:16:22,Dividend,PK/USD,0.65 ,-,0.65 ,"2,371.11 ",2.07 ,2577222575,Stocks,0.00 
24/01/2024 00:06:26,Dividend,CSCO/USD,0.12 ,-,0.12 ,"2,371.23 ",2.19 ,2522851486,Stocks,0.00 
24/01/2024 19:13:21,Deposit Conversion Fee,-,0.00 ,-,0.00 ,"2,534.23 ",165.19 ,-,-,0.00 
24/01/2024 19:13:21,Deposit,163.00 USD CreditCard,163.00 ,-,163.00 ,"2,534.23 ",165.19 ,-,-,0.00 
24/01/2024 19:14:31,Open Position,O/USD,15.19 ,0.274138,0.00 ,"2,534.23 ",150.00 ,2607765706,Stocks,0.00 
24/01/2024 19:19:45,Open Position,NFLX/USD,20.00 ,0.036395,0.00 ,"2,534.23 ",130.00 ,2607769185,Stocks,0.00 
25/01/2024 00:04:27,Dividend,GE/USD,0.01 ,-,0.01 ,"2,534.24 ",130.01 ,2347009166,Stocks,0.00 
25/01/2024 00:04:27,Dividend,GE/USD,0.01 ,-,0.01 ,"2,534.25 ",130.02 ,2481201573,Stocks,0.00 
25/01/2024 00:04:27,Dividend,GE/USD,0.01 ,-,0.01 ,"2,534.26 ",130.03 ,2582868291,Stocks,0.00 
29/01/2024 14:30:14,Open Position,MO/USD,41.00 ,1.018381,0.00 ,"2,534.26 ",89.03 ,2610102559,Stocks,0.00 
29/01/2024 14:30:20,Open Position,BTI/USD,30.00 ,0.996016,0.00 ,"2,534.26 ",59.03 ,2610105431,Stocks,0.00 
29/01/2024 14:31:07,Open Position,VZ/USD,43.00 ,1.017270,0.00 ,"2,534.26 ",16.03 ,2610158564,Stocks,0.00 
29/01/2024 14:31:51,Open Position,O/USD,16.03 ,0.291932,0.00 ,"2,534.26 ",0.00 ,2610207502,Stocks,0.00 
31/01/2024 00:13:32,Dividend,JPM/USD,0.07 ,-,0.07 ,"2,534.33 ",0.07 ,2347010117,Stocks,0.00 
31/01/2024 00:13:32,Dividend,JPM/USD,0.06 ,-,0.06 ,"2,534.39 ",0.13 ,2385561957,Stocks,0.00 
31/01/2024 00:13:32,Dividend,JPM/USD,0.07 ,-,0.07 ,"2,534.46 ",0.20 ,2412988281,Stocks,0.00 
31/01/2024 00:13:32,Dividend,JPM/USD,0.07 ,-,0.07 ,"2,534.53 ",0.27 ,2414742563,Stocks,0.00 
31/01/2024 00:13:32,Dividend,JPM/USD,0.06 ,-,0.06 ,"2,534.59 ",0.33 ,2433983029,Stocks,0.00 
31/01/2024 00:13:32,Dividend,JPM/USD,0.07 ,-,0.07 ,"2,534.66 ",0.40 ,2435744915,Stocks,0.00 
31/01/2024 00:13:32,Dividend,JPM/USD,0.06 ,-,0.06 ,"2,534.72 ",0.46 ,2482095447,Stocks,0.00 
31/01/2024 00:13:32,Dividend,JPM/USD,0.06 ,-,0.06 ,"2,534.78 ",0.52 ,2483200575,Stocks,0.00 
01/02/2024 00:14:14,Dividend,T/USD,0.60 ,-,0.60 ,"2,535.38 ",1.12 ,2187160069,Stocks,0.00 
01/02/2024 00:14:14,Dividend,T/USD,0.13 ,-,0.13 ,"2,535.51 ",1.25 ,2347008495,Stocks,0.00 
01/02/2024 00:14:14,Dividend,T/USD,0.12 ,-,0.12 ,"2,535.63 ",1.37 ,2420711848,Stocks,0.00 
01/02/2024 00:14:14,Dividend,T/USD,0.15 ,-,0.15 ,"2,535.78 ",1.52 ,2563930008,Stocks,0.00 
07/02/2024 16:21:34,Deposit,60.00 USD CreditCard,60.00 ,-,60.00 ,"2,595.78 ",61.52 ,-,-,0.00 
07/02/2024 16:21:34,Deposit Conversion Fee,-,0.00 ,-,0.00 ,"2,595.78 ",61.52 ,-,-,0.00 
07/02/2024 16:24:32,Open Position,SPY/USD,11.52 ,0.023148,0.00 ,"2,595.78 ",50.00 ,2619114544,CFD,0.00 
13/02/2024 08:00:08,Open Position,MC.PA/EUR,20.31 ,0.022610,0.00 ,"2,595.78 ",30.00 ,2622885954,Stocks,0.00 
13/02/2024 14:31:07,Open Position,MSFT/USD,10.00 ,0.024657,0.00 ,"2,595.78 ",20.00 ,2623151140,Stocks,0.00 
15/02/2024 00:06:07,Dividend,O/USD,0.03 ,-,0.03 ,"2,595.81 ",20.03 ,2348193684,Stocks,0.00 
15/02/2024 00:06:07,Dividend,O/USD,0.03 ,-,0.03 ,"2,595.84 ",20.06 ,2385562140,Stocks,0.00 
15/02/2024 00:06:07,Dividend,O/USD,0.03 ,-,0.03 ,"2,595.87 ",20.09 ,2394930836,Stocks,0.00 
15/02/2024 00:06:07,Dividend,O/USD,0.03 ,-,0.03 ,"2,595.90 ",20.12 ,2395830103,Stocks,0.00 
